,desc,location,logo,number,accident
524,电动车二轮摩托车无人员伤,经二路纬四路路口,[],[],未知
525,越野鲁a5ad08拐弯刮到电动车双方协商备案暂时不需要民警处理,经七纬五路口西北角,[],['鲁A5AD08'],未知
526,两辆电动车一方受伤,育英中学南门济南日报社,[],[],未知
527,两车刮擦人没事车损不打都省内车,快处：经十纬一,[],[],刮擦
528,丰田鲁a02x60与电瓶车事故受伤,西沙路美里湖办事处门口,['丰田'],['鲁A02X60'],未知
529,货车与本田事故鲁af15s2鲁ar7061无伤亡,北园大街与生产路交口往西站牌,['本田'],"['鲁AF15S2', '鲁AR7061']",未知
530,标致鲁A160L8撞路边隔离护栏一颗杨树歪道损坏占一条车道人员没受伤,外环东路扳倒井村地质测绘院门口东100路东,['标致'],['鲁A160L8'],相撞
531,鲁AK135Y三菱与鲁AY7F10起亚事故,快处 经二路纬四路口北100米,"['三菱', '起亚']","['鲁AK135Y', '鲁AY7F10']",未知
532,电动车被撞一女同志趟地上肇事车辆跑了人不动弹了已经联系120,高墙王上桥口高架桥口 ,[],[],相撞
533,半挂冀EH1832与货车津AY3680开认定书,遥墙机场上高速口外面的道路,[],"['冀EH1832', '津AY3680']",未知
534,鲁AM37H3丰田与三菱鲁A92383事故,快处 经十路建设路口北100米,"['丰田', '三菱']","['鲁AM37H3', '鲁A92383']",未知
535,出租车鲁A9560与广汽鲁JBR808无伤亡报警人称双方私了不需要交警处理,取消 经七纬六胜利石油大厦西邻,[],['鲁JBR808'],未知
536,鲁AX8808红色轿车与奇瑞鲁a0990q刮擦逃逸,拖机路世购西门,['奇瑞'],"['鲁AX8808', '鲁A0990Q']",刮擦
537,2月6日1000鲁ae327x大众与雷克萨斯轿车刮擦人没事报警人称对方不配合走快处不去快处点,催警  新泺大街与舜华东路口,"['大众', '雷克萨斯']",['鲁AE327X'],刮擦
538,半挂冀EH1832与货车津AY3680开认定书当事人表示交警到过场需要开认定书,遥墙机场上高速口外面的道路,[],"['冀EH1832', '津AY3680']",未知
539,两车事故,北园高架全福立交桥上,[],[],未知
540,奥迪鲁AC7W03怀疑被轿车鲁AG6W66刮擦联系车主不承认,怡馨园小区17#前,['奥迪'],"['鲁AC7W03', '鲁AG6W66']",刮擦
541,电动车被撞一女同志趟地上肇事车辆跑了人不动弹了,高墙王上桥口高架桥口,[],[],相撞
542,26号事故别克与面包现在想双方协商不需要处理车已扣,取消报警：工业南路与解放东路中间奥体西路,['别克'],[],未知
543,电动与电动一方受伤,取消  济微路机床二厂南100米路东,[],[],未知
544,33532017年11月13日报警人被摩托车撞到摩托车逃逸未记住车牌号现来电求助交警调查报警人电话17076123896,堤口庄居委会,[],[],相撞
545,三轮车与鲁P826ND刮擦人没事,催警 清河北路黄台酒店用品城,[],['鲁P826ND'],刮擦
546,CRV与本田事故快处,快处：龙鼎大道与规划路口,['本田'],[],未知
547,电动车撞行人人受伤,北园大街银座家居门口,[],[],相撞
548,快处斯巴鲁鲁AD013Y与雪铁龙鲁AY0989事故,快处 九曲庄路与二环南路口,"['斯巴鲁', '雪铁龙']","['鲁AD013Y', '鲁AY0989']",未知
549,鲁Q125QD与行人之间纠纷因为滴滴打车发生纠纷对方拍摄视频告知让其删除对方不听刮了自己跑了,华强电子商厦往西130米路北,[],['鲁Q125QD'],未知
550,鲁a5353X别克与鲁at7031与鲁a86217雷克萨斯追尾人受伤,建设路与经十路口东北角,"['别克', '雷克萨斯']","['鲁A5353X', '鲁AT7031', '鲁A86217']",相撞
551,奔腾鲁Ac709b与奇瑞鲁A60w77事故无人受伤,还乡店路与工业北路交叉口,"['奔腾', '奇瑞']","['鲁AC709B', '鲁A60W77']",未知
552,鲁apb217丰田与电动车人受伤,省府前街与泉城路口,['丰田'],['鲁APB217'],未知
553,出租车鲁AT6315与出租车鲁AT9414事故人现在90医院,北外环大鲁庄宇佳物流门口,[],"['鲁AT6315', '鲁AT9414']",未知
554,鲁AG09E3与路虎鲁A7Y33刮擦路虎逃逸,工业北恒大城,['路虎'],['鲁AG09E3'],未知
555,大众鲁afn273与标志鲁a398m0刮擦车无法移动,腊山河西路大剧院西门对面 路西侧,['大众'],"['鲁AFN273', '鲁A398M0']",未知
556,大众鲁A0131F与鲁AH3V00五菱面包刮擦,快处 桑园路往北拐的转弯处,['大众'],"['鲁A0131F', '鲁AH3V00']",刮擦
557,长安鲁aut356与标志鲁af73d8追尾备案,玉函隧道,['长安'],"['鲁AUT356', '鲁AF73D8']",相撞
558,五菱宏光鲁A688MA与海马赣E0L082闯红灯事故无伤亡,催警：华山龙城D区北临大马路上由西往东,['海马'],"['鲁A688MA', '赣E0L082']",未知
559,金杯鲁YVJ180与三轮车无伤责任协商不了,和谐广场里送货口,['金杯'],['鲁YVJ180'],未知
560,25号的事故现在联系不上对方鲁AY509L与鲁AH39H7事故当时约定走快处,工业北高架往二环东高架转弯处,[],"['鲁AY509L', '鲁AH39H7']",未知
561,两电瓶车刮擦受伤,小清河北路银座家居广场8厅门口,[],[],刮擦
562,电动车与电动三轮车碰撞人受伤无需120,催警：黄岗路彩世界路口,[],[],相撞
563,轿车与摩托三轮车事故协商,恒大滨河左岸售楼处路口,[],[],未知
564,电动车逆行撞报警人母亲人受伤,工业北路幸福苑小区门口,[],[],相撞
565,快处两车刮擦AB69P825E5责任不清双方已经协商好不需要交警处理了,取消报警：二环东路华龙路下口,[],[],刮擦
566,两车碰撞人没事车能开省内车,快处：花园路金达路,[],[],相撞
567,鲁aq5x57奥迪撞电动人受伤,明湖西路和信花园北门,['奥迪'],['鲁AQ5X57'],相撞
568,鲁a517ql夏利与电动三轮刮擦协商不成要求民警到,经一路北坛小区东门,[],['鲁A517QL'],刮擦
569,福特苏b0hw39开车门刮到电动车人受伤,泺安路泺口办事处门口,['福特'],['苏B0HW39'],未知
570,公交车私家车人没事车损大,经十路 凯旋中心大厦 路北 快车道 ,[],[],未知
571,迈腾鲁A567TL撞到小区护栏无伤亡,经二纬五发祥巷东门,[],['鲁A567TL'],相撞
572,鲁Q125QD黑色现代刮擦行人车辆逃逸,华强电子商厦门口,['现代'],['鲁Q125QD'],刮擦
573,现代与起亚事故无受伤鲁AN2P55鲁A987VH,济钢新村东区4号楼下,"['现代', '起亚']","['鲁AN2P55', '鲁A987VH']",未知
574,电动三轮车与鲁RDJ226长城事故协商不了,匡山农产品交易市场门口进市场了,['长城'],['鲁RDJ226'],未知
575,鲁A679Z与鲁AE6E27无伤亡,快处：浆水泉路名仕豪庭2号,[],['鲁AE6E27'],未知
576,大众鲁ab0767与救护车车牌无法提供发生刮擦救护车逃逸求助民警,茂新街北区东门门口,['大众'],['鲁AB0767'],刮擦
577,汽车撞小孩事故,经三纬七,[],[],相撞
578,轿车AC6176和三轮车有人受伤,催警：香港街西头姚家派出所往东200米,[],['鲁AC6176'],未知
579,五菱宏光鲁A688MA与海马赣E0L082闯红灯事故无伤亡,催警：华山龙城D区北临大马路上由西往东,['海马'],"['鲁A688MA', '赣E0L082']",未知
580,两车相撞,銭铺西小李村口,[],[],相撞
581,早上7点左右丰田鲁an2d65与自行车事故人没事备案双方协商,七里堡小区内,['丰田'],['鲁AN2D65'],未知
582,鲁aub751启辰被刮擦逃逸,经十西路农商银行宋庄,['启辰'],['鲁AUB751'],刮擦
583,凌晨12点30分起亚鲁A852DF停在楼上被刮擦对方逃逸经查看是一辆黑色宝马牌照不详,西苑小区翠景园3区1号楼楼下,"['起亚', '宝马']",['鲁A852DF'],刮擦
584,鲁A5333S与鲁N63907事故,快处 七里铺东口300米左右,[],"['鲁A5333S', '鲁N63907']",未知
585,报警人骑电动车被撞逃逸车辆报警人没有看到当时报警人被撞晕报警人受伤,七里堡铁路桥上坡处,[],[],相撞
586,威鲁AD985P与五菱鲁AA08D8无人受伤对方找不到保险单要求交警到场报警时间2018127161023,取消：东西丹凤街，海阔天空门口。,[],"['鲁AD985P', '鲁AA08D8']",未知
587,追尾事故人没事车能开省内车,快处：千佛山南路,[],[],相撞
588,两车事故一车逃逸,孙村7号路,[],[],未知
589,五菱宏光鲁A688MA与海马赣E0L082闯红灯事故无伤亡,催警：华山龙城D区北临大马路上由西往东,['海马'],"['鲁A688MA', '赣E0L082']",未知
590,电动与电动一方受伤,济微路机床二厂南100米路东,[],[],未知
591,大众鲁A0131F与鲁AH3V00五菱面包刮擦当事人说一直没有收到快处短信请核实,快处 工业北路还乡店路口往南走到头,['大众'],"['鲁A0131F', '鲁AH3V00']",刮擦
592,两轿车刮擦,文昌山庄,[],[],刮擦
593,长安与吉利事故协商不了,经十路千佛山医院西侧路口,['长安'],[],未知
594,快处鲁AT6552与鲁AZ7L82刮擦,快处   花园路保利芙蓉,[],"['鲁AT6552', '鲁AZ7L82']",刮擦
595,五菱宏光鲁A688MA与海马赣E0L082闯红灯事故无伤亡,华山龙城D区北临大马路上由西往东,['海马'],"['鲁A688MA', '赣E0L082']",未知
596,两辆追尾人没事,十中路口,[],[],相撞
597,奔腾与北京现代事故协商不了,孙村7号路马氏清真饭店门口,"['奔腾', '北京', '现代']",[],未知
598,长安与吉利事故协商不了,催警：经十路千佛山医院西侧路口,['长安'],[],未知
599,鲁AF0G20与电动车人没事,维尔康门口,[],['鲁AF0G20'],未知
600,哈佛H6与大众协商不了,经八路铁路医院院里,['大众'],[],未知
601,轿车电动车事故人没事,原乡溪谷南边路东,[],[],未知
602,公交车私家车人没事车损大,催警经十路 凯旋中心大厦 路北 快车道,[],[],未知
603,帕萨特鲁phs559与丰田鲁am37h3刮擦帕萨特车主不在现场,经四路万达南100米林祥南街,['丰田'],"['鲁PHS559', '鲁AM37H3']",刮擦
604,别克和大众AL767B追尾前车有人不舒服备案,舜耕路舜耕中学北100米路西,"['别克', '大众']",['鲁AL767B'],相撞
605,鲁AL7263与行人有人受伤已拨120,旅游路港九路,[],['鲁AL7263'],未知
606,渣土车与行人人受伤,旅游路与港九路,[],[],未知
607,电动车与三轮车事故三轮车受伤,木里庄村里,[],[],未知
608,轿车AC6176和三轮车有人受伤,香港街西头姚家派出所往东200米,[],['鲁AC6176'],未知
609,出租车鲁AT6741与公交车鲁AB7836无伤亡,快处 :山大路文化东路路口,[],"['鲁AT6741', '鲁AB7836']",未知
610,货车撞一老人,248线前十亩附近,[],[],相撞
611,电动车和轿车相撞一人受伤,南关村,[],[],相撞
612,两车刮擦引起交通拥堵,林祥南街,[],[],刮擦
613,鲁amn202路虎与奔驰鲁g588gp刮擦,备案：省立东院西门,"['路虎', '奔驰']","['鲁AMN202', '鲁G588GP']",刮擦
614,出租车鲁AT8836与电动车事故无人受伤备案,催警：无影山北路与清河北路路口,[],['鲁AT8836'],未知
615,一箱货与一货车相撞,316线贾庄高速附近,[],[],相撞
616,搅拌车与轿车事故人没事,孙村春晖路,[],[],未知
617,轿车与电三轮相撞已打120,248垛石石墓田路口,[],[],相撞
618,轿车和三轮车刮擦一人受伤,崮山镇委门口,[],[],刮擦
619,快处鲁A2L939与鲁AT5654刮擦,快处   舜耕路与玉函小区南路东50米,[],"['鲁A2L939', '鲁AT5654']",刮擦
620,风行与丰田事故快处,快处：二环南路华润仰山路口,['丰田'],[],未知
621,大货车临牌与轿车鲁A891PL事故,陡沟  党杨路,[],['鲁A891PL'],未知
622,电动车和轿车AL420H人没事协商私了,奥体中路花园东路路口,[],['鲁AL420H'],未知
623,两车刮擦协商处理,北外环大鲁庄,[],[],刮擦
624,报警人称电动车与轿车ANM675事故人没事双方协商不了,解放路公交公司门口,[],['鲁ANM675'],未知
625,鲁AK5L32鲁AVV975追尾事故无伤车损较大前车开不了了,北园大街历山路，西向东,[],"['鲁AK5L32', '鲁AVV975']",相撞
626,鲁AZ772A撞坏树苗,旅游路龙洞立交,[],['鲁AZ772A'],未知
627,报警人称客车与荣威事故鲁aa509v陕kc7300无伤亡,二环东路百花公园东门,['荣威'],"['鲁AA509V', '陕KC7300']",未知
628,两车事故鲁A1BV40鲁AN67U2现在协商不了联系不到对方多次报警要求处理,2月4日事故   世贸广场地下一层,[],"['鲁A1BV40', '鲁AN67U2']",未知
629,鲁A820SV与鲁PEQ828刮擦责任不明非道路交通事故不能快处,齐鲁医院内,[],"['鲁A820SV', '鲁PEQ828']",刮擦
630,昨天早上7点半的事故奇瑞鲁A553T7被一辆大客站鲁AB5656追尾无伤亡,阳光新路和二环南路路口往北300米,['奇瑞'],"['鲁A553T7', '鲁AB5656']",相撞
631,快处大众鲁a256ww与别克鲁a732wv刮擦,快处：燕子山路与解放路交口往南200加油站,"['大众', '别克']","['鲁A256WW', '鲁A732WV']",刮擦
632,越野车与货车追尾人没事,京福高速由北向南距离服务区500米,[],[],相撞
633,鲁pq9396大众与鲁a658py丰田与鲁a871pb路虎追尾车损超5000,二环东路倪氏海泰酒店门口,"['大众', '丰田', '路虎']","['鲁PQ9396', '鲁A658PY', '鲁A871PB']",相撞
634,轿车被撞对方逃逸,常春藤小区,[],[],相撞
635,沃尔沃鲁AN1239与鲁AU922Q沃尔沃逃逸,经十东邢村立交东,"['沃尔沃', '沃尔沃']","['鲁AN1239', '鲁AU922Q']",未知
636,单车事故撞护栏车不能开了,龙凤山路唐冶热电厂门,[],[],相撞
637,事故咨询已答复,火车站,[],[],未知
638,AV878C单车事故撞护栏,南全福大街南全福小区路口,[],['鲁AV878C'],相撞
639,雪佛兰与宝骏事故快处,快处：奥体西路与解放东路,"['雪佛兰', '宝骏']",[],未知
640,电动车与电动三轮车碰撞人受伤无需120,黄岗路彩世界路口,[],[],相撞
641,快处鲁A5333S鲁N63907电话15689401744,快处：黄台南路与二环东路东300米,[],"['鲁A5333S', '鲁N63907']",未知
642,报警人称自行车与一辆轿车车牌不详发生刮擦受伤不需120,工业北路市立三院南门门口向南100米路西侧,[],[],刮擦
643,快处鲁AC55U7与鲁AAY092刮擦,快处  北园高架上 长途汽车站附近,[],"['鲁AC55U7', '鲁AAY092']",刮擦
644,传奇鲁M87P37被刮擦车牌不详,二环东滨河国际内,[],['鲁M87P37'],刮擦
645,货车与轿车事故鲁A9791B鲁AD15Y3无受伤,催警  花园路与七里河,[],"['鲁A9791B', '鲁AD15Y3']",未知
646,货车与轿车事故鲁A9791B鲁AD15Y3无受伤,催警  花园路与七里河,[],"['鲁A9791B', '鲁AD15Y3']",未知
647,报警人称长城与电动车事故鲁a6h083轻伤,工业北路276客车厂宿舍,['长城'],['鲁A6H083'],未知
648,鲁A560S1捷达与福特鲁AX8Y07水箱漏了车损严重, 龙奥东路东侧华创管理中心,['福特'],"['鲁A560S1', '鲁AX8Y07']",未知
649,鲁J6708J与电动车人受轻伤,历山路黄台南路,[],['鲁J6708J'],未知
650,报警人称三轮车停在路口有骑着电动车的撞了,党校门口,[],[],相撞
651,电动车轿车事故人受伤,董家镇前二村,[],[],未知
652,鲁A9971y名爵和鲁A3283h中华事故无伤,催警：全福立交桥转盘下,"['名爵', '中华']","['鲁A9971Y', '鲁A3283H']",未知
653,雪铁龙鲁AB087J与对方北汽鲁C67E05事故无伤亡,北园大街华府国际售楼处 ,['雪铁龙'],"['鲁AB087J', '鲁C67E05']",未知
654,人力三轮车与行人事故,浆水泉路武警医院往北100米路西,[],[],未知
655,电动车与行人人没事,浆水泉 旅游路东200米站牌,[],[],未知
656,帝豪与马自达事故,快处：舜泰中路山钢集团大楼停车场北边,['马自达'],[],未知
657,老人被撞对方逃逸,龙泉路北头,[],[],相撞
658,人力三轮车与行人事故,取消：浆水泉路武警医院往北100米路西,[],[],未知
659,鲁a5353X别克与鲁at7031与鲁a86217雷克萨斯追尾人受伤,催警：建设路与经十路口东北角,"['别克', '雷克萨斯']","['鲁A5353X', '鲁AT7031', '鲁A86217']",相撞
660,两辆客车相撞人没事,汽车站内,[],[],相撞
661,129晚上鲁a6d851与鲁a8607x刮擦一方逃逸现在找到对方,舜风路与凤凰路口,[],"['鲁A6D851', '鲁A8607X']",刮擦
662,现代与起亚事故鲁aa2p55鲁a987vh无伤亡要出警,催警：济钢新村东4号楼,"['现代', '起亚']","['鲁AA2P55', '鲁A987VH']",未知
663,大众鲁a08v87与金杯面包车鲁a706fr事故无伤亡,二环东路 七里堡 铁路桥  北往南,"['大众', '金杯']","['鲁A08V87', '鲁A706FR']",未知
664,两车追尾车能开省内车,快处：旅游路 龙洞隧道出口,[],[],相撞
665,鲁a088gt天籁被鲁a5629h东风追尾已保险,备案:凤凰山路交通警察门口,['东风'],"['鲁A088GT', '鲁A5629H']",相撞
666,帕萨特撞出租车逃逸帕萨特车主来电话想与对方私了,北坦荣氏栗子,[],[],相撞
667,电动车与电动三轮车碰撞人受伤无需120,催警：黄岗路彩世界路口,[],[],相撞
668,轿车电动车事故人没事,人事路口,[],[],未知
669,三轮车与电动车事故协商不了,经十路与雪山路路北,[],[],未知
670,快处鲁AAF239与鲁ANH999刮擦,快处  卧龙路卧龙花园,[],"['鲁AAF239', '鲁ANH999']",刮擦
671,快处两车刮擦AB69P825E5责任不清,快处，二环东路华龙路下口,[],[],刮擦
672,两车事故鲁A1BV40鲁AN67U2现在协商不了联系不到对方,2月4日事故   世贸广场地下一层,[],"['鲁A1BV40', '鲁AN67U2']",未知
673,白色轿车鲁A771W2撞面包鲁AU2W31逃逸人没事车损轻微,世购西门,[],"['鲁A771W2', '鲁AU2W31']",相撞
674,过路群众报警12345转接没有电话堵车了,历城区山大北路二环东下桥口事故 路过报警,[],[],未知
675,鲁AW8Z03鲁AW1Z85两轿车刮擦无人员伤亡,经八纬二往北50米,[],"['鲁AW8Z03', '鲁AW1Z85']",刮擦
676,面包与轿车相撞有两人受伤去医院现场有人,仁风前王圈路口,[],[],相撞
677,51路鲁A20396公交车与私家车事故对方离开现场不需要交警处理只备案,备案 省中医西院门口,[],['鲁A20396'],未知
678,长城鲁am3c25停在此处被撞对方车辆逃逸无伤亡,王舍人大辛庄 8号楼 车库 ,['长城'],['鲁AM3C25'],相撞
679,两车事故人没事车能开车损不大,快处：花园路七里河路口,[],[],未知
680,报警人称鲁A3832F与鲁zm072私了,备案：柳埠镇柳埠大桥人工湖,[],['鲁A3832F'],相撞
681,摩托车鲁ABY169与鲁AN5385宝马事故无伤亡,凤凰路工业北路口,['宝马'],"['鲁ABY169', '鲁AN5385']",未知
682,奥迪Q5鲁G5825R被刮对方逃逸无法提供对方信息,洛安路济南社区卫生中心门口,['奥迪'],['鲁G5825R'],刮擦
683,咨询,咨询,[],[],未知
684,摩托车鲁JEC731与电动三轮事故报警人受伤,104国道市中区党家庄街道办事处南桥村段,[],['鲁JEC731'],未知
685,鲁AG9X55起亚与鲁AR0P66长安事故半小时前事故当时约定走快处现在俩系不上长安车主,经十西路段店立交东,"['起亚', '长安', '长安']","['鲁AG9X55', '鲁AR0P66']",未知
686,两车刮擦人没事车能开,快处：明湖西路 ,[],[],刮擦
687,货车与轿车事故鲁A9791B鲁AD15Y3无受伤货车司机不肯处理,催警  花园路与七里河,[],"['鲁A9791B', '鲁AD15Y3']",未知
688,大众鲁282bs与电动三轮车事故无伤亡撤离现场,省劳技门口   西往东,['大众'],[],未知
689,120与行人事故报警人现在在省立医院,阳光新路美乐汇门前,[],[],未知
690,快处鲁AK5J93与鲁AX2V17刮擦,快处   会展东路舜华北路,[],"['鲁AK5J93', '鲁AX2V17']",刮擦
691,鲁AT8390与三轮车事故人没事,经一路东200米,[],['鲁AT8390'],未知
692,1月31日鲁A85S52别克停在此处被公交车撞了车号不详,济南西站公交枢纽停车场,['别克'],['鲁A85S52'],相撞
693,鲁ab5s52江淮与电动人没事协商不成,西外环与南外环口往北100米路西,['江淮'],['鲁AB5S52'],刮擦
694,起亚鲁ae157s与K157鲁ab1396事故无伤亡,槐荫政务服务中心  东往西 ,['起亚'],"['鲁AE157S', '鲁AB1396']",未知
695,货车与轿车事故鲁A9791B鲁AD15Y3无受伤,催警 花园路与七里河,[],"['鲁A9791B', '鲁AD15Y3']",未知
696,现代鲁Ag8106与起亚鲁Ay385z事故无人受伤现已快处因有监控报备,明湖西路巴黎花园南门门口,"['现代', '起亚']","['鲁AG8106', '鲁AY385Z']",未知
697,面包与货车相撞已打120,220崔寨邓官村,[],[],相撞
698,AR736奥迪撞门车辆逃逸,祝顺路777号，上海花园北门对面,['奥迪'],[],未知
699,赛拉图鲁AE7F10与三轮鲁AK135E事故人没事对方不让其离开,经四路大观园路口往北100米,[],"['鲁AE7F10', '鲁AK135E']",未知
700,鲁ALB880红色雪佛兰与鲁AJV103华晨金杯事故,快处 经十路洪山路口西向东,"['雪佛兰', '金杯']","['鲁ALB880', '鲁AJV103']",未知
701,帕萨特撞出租车逃逸,北坦荣氏栗子,[],[],相撞
702,电动车车主躺在地上人受伤不知与什么车发生事故,将军路零点往高架走的,[],[],未知
703,电动车被撞一女同志趟地上肇事车辆跑了人不动弹了,高墙王上桥口高架桥口,[],[],相撞
704,起亚鲁ae157s与K157公交车鲁ab1396事故无伤亡,快处：槐荫政务服务中心  东往西,['起亚'],"['鲁AE157S', '鲁AB1396']",未知
705,两车事故私了,取消：工业南路小鸭集团,[],[],未知
706,鲁ald213丰田与长城鲁a583pk追尾,备案：北园高架桥上齐鲁制药东向西,"['丰田', '长城']","['鲁ALD213', '鲁A583PK']",相撞
707,轿车鲁AB5G71与电动车事故车坏了,七贤广场路口,[],['鲁AB5G71'],未知
708,飞度鲁ap7c05路口拐弯张沟里了无人员受伤,历城区柳埠镇小刘家域村,[],['鲁AP7C05'],未知
709,长安鲁AF58Y0与马自达鲁A0F021,快处：王舍人华联超市门口,"['长安', '马自达']","['鲁AF58Y0', '鲁A0F021']",未知
710,临鲁a7n684东风与摩托鲁a42d31刮擦协商不成,二环北路济南市公安局天桥车辆管理所,['东风'],"['鲁A7N684', '鲁A42D31']",刮擦
711,报警人称一电动三轮撞了一行人,润东大厦路口,[],[],相撞
712,荣威鲁ACT833倒车撞到五菱鲁AX0939双方当事人已经碰面当场私了,备案 仲宫镇仲南小区,[],"['鲁ACT833', '鲁AX0939']",相撞
713,宝马鲁A317F8被刮擦逃逸,工业北路大辛庄小区地下车库,['宝马'],['鲁A317F8'],刮擦
714,45路公交车与长安事故无伤鲁SAB325鲁AB3915,幸福街天顺饭店门口,['长安'],"['鲁SAB325', '鲁AB3915']",未知
715,鲁ANB855大众与另一车刮擦备案,备案；北园耳鼻喉医院门口,['大众'],['鲁ANB855'],刮擦
716,两车追尾AG99F5A586EQ车损较大车不能开了,青岛腊山河路口,[],"['鲁AG99F5', '鲁A586EQ']",相撞
717,东风鲁A908FX与电动车事故轻伤淤青,经十路九中与农行路口东往西南方向,['东风'],['鲁A908FX'],未知
718,长安鲁AF58Y0与马自达鲁A0F021,快处：王舍人华联超市门口,"['长安', '马自达']","['鲁AF58Y0', '鲁A0F021']",未知
719,45路公交车与长安事故无伤鲁SAB325鲁AB3915,快处：幸福街天顺饭店门口,['长安'],"['鲁SAB325', '鲁AB3915']",未知
720,现代与起亚事故鲁aa2p55鲁a987vh无伤亡,济钢新村东4号楼,"['现代', '起亚']","['鲁AA2P55', '鲁A987VH']",未知
721,豫1p3660雪佛兰与夏利鲁j7j886刮擦人没事,催警：经四路大纬二路口南50米路西,['雪佛兰'],"['豫1P3660', '鲁J7J886']",刮擦
722,行人与黑色丰田鲁A35C58事故人轻伤,燕山中学南门口菜市场,['丰田'],['鲁A35C58'],未知
723,报警人称两辆小型车辆事故,青龙路七天连锁酒店（龙珠嘉园）,[],[],未知
724,货车撞了电动车已打120,崔寨劳务市场,[],[],相撞
725,报警人称怀疑在路上撞人货车冀DZ8375手机号13739609173,在肥城到平阴三岔路口西,[],['冀DZ8375'],相撞
726,鲁a598s9起亚被刮擦逃逸,西市场对面龙槐雅苑小区8号楼,['起亚'],['鲁A598S9'],刮擦
727,轿车鲁A63399与电动车相撞一人伤,鲁宏大道报到市场金度火锅王,[],['鲁A63399'],相撞
728,豫1p3660雪佛兰与夏利鲁j7j886刮擦人没事,催警：经四路大纬二路口南50米路西,['雪佛兰'],"['豫1P3660', '鲁J7J886']",刮擦
729,货车与本田事故鲁af15s2鲁ar7061无伤亡,取消：北园大街与生产路交口往西站牌,['本田'],"['鲁AF15S2', '鲁AR7061']",未知
730,奇瑞鲁ADA077与二轮摩托车鲁A56B93相撞人没事,二环东路七里堡路口,['奇瑞'],"['鲁ADA077', '鲁A56B93']",相撞
731,车放在这里不知道被谁刮了,营市东街12号,[],[],刮擦
732,二轮摩托车与三轮摩托车无牌人受伤,西营集市，信用社附近,[],[],相撞
733,路虎鲁AMN202和奔驰鲁G5887P事故无伤亡,解放东路奥体中路路口省立医院东院西门门口,['奔驰'],"['鲁AMN202', '鲁G5887P']",未知
734,1公交车鲁a07272f与电动车与行人已告知需要及时拨打120,经二纬五  市中交警大队 路北 1路公交车站牌,[],[],未知
